date,home,away,actual,model_prob_home,model_prob_draw,model_prob_away,implied_prob_home,implied_prob_draw,implied_prob_away,log_loss,flagged_value,flagged_side,edge,pnl,home_known,away_known
2020-11-08,West Brom,Tottenham,A,0.10742925838929268,0.15804076781190088,0.7345299737988062,0.13433250960129228,0.2171657199097104,0.6485017704889973,0.3085244757613556,True,A,0.08602820330980898,0.44999999999999996,True,True
2020-11-08,Man City,Liverpool,D,0.5706164176632723,0.1998459182590585,0.229537664077669,0.4907216494845361,0.22783505154639172,0.28144329896907216,1.6102086180561022,True,H,0.0798947681787362,-1.0,True,True
2020-11-08,Arsenal,Aston Villa,A,0.5478859706239015,0.246184670424664,0.20592935895143435,0.5772208925805997,0.23229621286780233,0.19048289455159792,1.580222086713763,False,,0.015446464399836435,,True,True
2020-11-21,Man United,West Brom,H,0.8289231848458354,0.11263541162172244,0.05844140353244215,0.7282229965156793,0.17212543554006968,0.09965156794425085,0.18762778815713305,True,H,0.10070018833015604,0.30000000000000004,True,True
2020-11-21,Newcastle,Chelsea,A,0.24742002825334905,0.23126715001587306,0.5213128217307779,0.14596026490066225,0.1997350993377483,0.6543046357615894,0.6514049918251863,True,H,0.1014597633526868,-1.0,True,True
2020-11-21,Aston Villa,Brighton,A,0.4763829154805053,0.2507929180453201,0.2728241664741745,0.4407039020657995,0.2631981637337414,0.29609793420045905,1.2989277701542425,False,,0.03567901341470581,,True,True
2020-11-21,Tottenham,Man City,H,0.24650196308371797,0.2196529852325407,0.5338450516837414,0.23684210526315788,0.23684210526315788,0.5263157894736842,1.400385321702633,False,,0.009659857820560086,,True,True
2020-11-22,Liverpool,Leicester,H,0.5005692868899744,0.2238146006190988,0.27561611249092677,0.5129935875801552,0.2372595342558218,0.24974687816402294,0.6920092544635457,False,,0.02586923432690383,,True,True
2020-11-22,Leeds,Arsenal,D,0.34087670069141013,0.22134682511295575,0.43777647419563404,0.3160919540229885,0.25287356321839083,0.4310344827586207,1.5080244631959618,False,,0.02478474666842162,,True,True
2020-11-22,Sheffield United,West Ham,A,0.31503144157200036,0.30071379395975023,0.3842547644682493,0.3151515151515151,0.2909090909090909,0.393939393939394,0.9564494972434285,False,,0.009804703050659336,,True,True
2020-11-22,Fulham,Everton,A,0.19572450507712014,0.22727156913845278,0.577003925784427,0.24342105263157898,0.24342105263157898,0.513157894736842,0.5499062087113477,True,A,0.06384603104758502,0.8500000000000001,True,True
2020-11-23,Wolves,Southampton,D,0.45830918935092557,0.26793779845512605,0.27375301219394843,0.41401273885350315,0.2929936305732484,0.2929936305732484,1.3170004207262604,False,,0.044296450497422424,,True,True
2020-11-23,Burnley,Crystal Palace,H,0.37766471243309696,0.3243270823842898,0.29800820518261306,0.3463687150837989,0.30726256983240224,0.3463687150837989,0.9737484811287518,False,,0.031295997349298055,,True,True
2020-11-27,Crystal Palace,Newcastle,A,0.39188591114387333,0.30041769915718874,0.30769638969893814,0.45925577013659924,0.2896844088553933,0.25105982100800756,1.1786417299080967,True,A,0.05663656869093059,2.75,True,True
2020-11-28,Man City,Burnley,H,0.790557315435156,0.14206192101488385,0.06738076354996025,0.8148852369957897,0.12603558332201548,0.05907917968219475,0.2350171196666772,False,,0.016026337692868375,,True,True
2020-11-28,West Brom,Sheffield United,H,0.1931253786645082,0.3285890478261807,0.47828557350931117,0.3648208469055374,0.29641693811074915,0.33876221498371334,1.6444156706096766,True,A,0.13952335852559783,-1.0,True,True
2020-11-28,Everton,Leeds,A,0.44606486401572665,0.20866855849416108,0.34526657749011225,0.4866595517609391,0.2497331910352187,0.263607257203842,1.0634384719436163,True,A,0.08165932028627026,2.6,True,True
2020-11-28,Brighton,Liverpool,D,0.1528641352461536,0.1932133462096923,0.6539225185441542,0.1720368389470114,0.22528633671632445,0.6026768243366641,1.643960279829304,True,A,0.05124569420749003,-1.0,True,True
2020-11-29,Chelsea,Tottenham,D,0.44130008767225604,0.22204719155196917,0.3366527207757749,0.46400294605045106,0.27177315411526415,0.2642238998342846,1.504865345142208,True,A,0.07242882094149028,-1.0,True,True
2020-11-29,Arsenal,Wolves,A,0.3875352609479387,0.30373144284701376,0.3087332962050477,0.4652011310772599,0.2804889172671714,0.25430995165556874,1.175277493863651,True,A,0.05442334454947895,2.75,True,True
2020-11-29,Southampton,Man United,A,0.29463105303922077,0.23500772219463062,0.47036122476614856,0.23842794759825325,0.2724890829694323,0.48908296943231444,0.7542543161393593,True,H,0.056203105440967516,-1.0,True,True
2020-11-30,Leicester,Fulham,A,0.8263370965448438,0.11803501212230434,0.055627891332851925,0.6340391980175715,0.2196440639783735,0.14631673800405498,2.8890705608290324,True,H,0.1922978985272723,-1.0,True,True
2020-11-30,West Ham,Aston Villa,H,0.4798426081765643,0.23425429688565436,0.28590309493778143,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.7342971284831971,True,H,0.05878997659761698,1.25,True,True
2020-12-05,Burnley,Everton,D,0.33523827072032814,0.28411015946831397,0.3806515698113579,0.23539823008849559,0.26902654867256637,0.49557522123893805,1.2583932305772356,True,H,0.09984004063183255,-1.0,True,True
2020-12-05,Chelsea,Leeds,H,0.6618287427100876,0.15520529902840857,0.18296595826150386,0.631578947368421,0.21052631578947367,0.15789473684210525,0.4127484533254778,False,,0.030249795341666608,,True,True
2020-12-05,West Ham,Man United,A,0.3011535405232736,0.2456168923258332,0.4532295671508933,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.7913565111115111,False,,0.0379956457864315,,True,True
2020-12-05,Man City,Fulham,H,0.9087215014037563,0.06335276294817546,0.02792573564806822,0.8636363636363636,0.08636363636363636,0.05,0.09571661084209884,False,,0.04508513776739265,,True,True
2020-12-06,West Brom,Crystal Palace,A,0.2571620546567518,0.3338087667356639,0.4090291786075845,0.33086670045615807,0.2967460719716168,0.37238722757222503,0.8939687841451702,False,,0.03706269476404711,,True,True
2020-12-06,Tottenham,Arsenal,H,0.5028453084090895,0.2607632138435545,0.236391477747356,0.4866595517609392,0.26360725720384204,0.24973319103521877,0.6874726941359888,False,,0.01618575664815025,,True,True
2020-12-06,Liverpool,Wolves,H,0.5651138908578595,0.2400458653017234,0.19484024384041698,0.6340391980175715,0.2196440639783735,0.14631673800405498,0.570727991409983,False,,0.048523505836362,,True,True
2020-12-06,Sheffield United,Leicester,A,0.21491333846211647,0.2921171828992412,0.4929694786386423,0.24786635191574355,0.2691120392228073,0.483021608861449,0.7073080163110029,False,,0.023005143676433915,,True,True
2020-12-07,Brighton,Southampton,A,0.33610720593826393,0.2552963676621675,0.40859642639956834,0.3898003558015417,0.2808855505040522,0.329314093694406,0.8950273425997388,True,A,0.07928233270516233,1.9,True,True
2020-12-11,Leeds,West Ham,A,0.38283873816588443,0.2390363676848531,0.37812489414926254,0.43963204292832503,0.2554618627826753,0.3049060942889996,0.9725307301329049,True,A,0.07321879986026292,2.1,True,True
2020-12-12,Wolves,Aston Villa,A,0.5173706660985815,0.26160514845745336,0.2210241854439651,0.4193548387096774,0.2903225806451613,0.2903225806451613,1.509483147054078,True,H,0.09801582738890413,-1.0,True,True
2020-12-12,Newcastle,West Brom,H,0.5528326915686734,0.27228453108940165,0.17488277734192498,0.3872529245663574,0.2964905203711174,0.3162565550625252,0.592699870128438,True,H,0.16557976700231603,1.4500000000000002,True,True
2020-12-12,Man United,Man City,D,0.26298936433649467,0.22700851759447224,0.510002118069033,0.21985781067393842,0.22666293338527463,0.553479255940787,1.4827677397620747,False,,0.04313155366255625,,True,True
2020-12-12,Everton,Chelsea,H,0.2612645457649945,0.22225283422726755,0.5164826200077379,0.21843546363997918,0.22519656132407379,0.556367975035947,1.3422217996836976,False,,0.04282908212501535,,True,True
2020-12-13,Arsenal,Burnley,A,0.5414486458139525,0.27468488236010136,0.18386647182594618,0.621470932916652,0.22639298270535177,0.1521360843779964,1.6935454814165083,False,,0.04829189965474959,,True,True
2020-12-13,Southampton,Sheffield United,H,0.4943502873904212,0.28037901967440737,0.22527069293517127,0.5576208178438662,0.2527881040892193,0.1895910780669145,0.7045109292890656,False,,0.03567961486825677,,True,True
2020-12-13,Leicester,Brighton,H,0.6101932119398743,0.2219572956139074,0.1678494924462183,0.4767025089605735,0.27240143369175623,0.25089605734767023,0.4939796310815446,True,H,0.13349070297930082,1.0,True,True
2020-12-13,Fulham,Liverpool,D,0.08481401787908303,0.12906334911843242,0.7861226330024845,0.10460863204096563,0.17117776152158012,0.7242136064374544,2.047451916722559,True,A,0.06190902656503017,-1.0,True,True
2020-12-13,Crystal Palace,Tottenham,D,0.17424706835770415,0.25576936536897965,0.5699835662733164,0.20963810238139882,0.2418901181323833,0.548471779486218,1.3634791570992004,False,,0.02151178678709842,,True,True
2020-12-15,Man City,West Brom,D,0.8994536650284848,0.07635032073165182,0.024196014239863322,0.868812998345118,0.08609146983601625,0.04509553181886565,2.5724230465188294,False,,0.030640666683366735,,True,True
2020-12-15,Wolves,Chelsea,H,0.35100360145847737,0.2690364267213664,0.37995997182015606,0.1803677122351528,0.24919223400909268,0.5704400537557545,1.0469587950034478,True,H,0.17063588922332457,4.25,True,True
2020-12-16,Liverpool,Tottenham,H,0.508472403391783,0.23050630385667853,0.2610212927515384,0.540711462450593,0.24901185770750991,0.21027667984189727,0.6763443355821882,True,A,0.050744612909641135,-1.0,True,True
2020-12-16,Fulham,Brighton,D,0.34529290238807325,0.2811648464520453,0.37354225115988154,0.3313785347043702,0.28819890745501286,0.380422557840617,1.2688141394775487,False,,0.013914367683703077,,True,True
2020-12-16,Leeds,Newcastle,H,0.4771762182544576,0.24292259959349713,0.27990118215204524,0.5429892624813857,0.23755780233560622,0.21945293518300807,0.7398694260135222,True,A,0.06044824696903717,-1.0,True,True
2020-12-16,Arsenal,Southampton,D,0.42367096539633575,0.2572814923188852,0.31904754228477916,0.42217898832684825,0.2714007782101167,0.306420233463035,1.3575844926395564,False,,0.012627308821744176,,True,True
2020-12-16,West Ham,Crystal Palace,D,0.511886210774839,0.2575258737406306,0.2305879154845305,0.4603234298608499,0.27754795035727714,0.26212861978187285,1.35663508338004,True,H,0.05156278091398908,-1.0,True,True
2020-12-16,Leicester,Everton,A,0.5886471503860566,0.21901132753896474,0.19234152207497848,0.4427206508371961,0.2644026109166588,0.29287673824614513,1.6484827262686859,True,H,0.14592649954886056,-1.0,True,True
2020-12-17,Aston Villa,Burnley,D,0.46654010843556676,0.27490160062554275,0.25855829093889054,0.540711462450593,0.24901185770750991,0.21027667984189727,1.2913420612540694,False,,0.04828161109699328,,True,True
2020-12-17,Sheffield United,Man United,A,0.17447663669297628,0.27348341380899804,0.5520399494980258,0.1354490430230656,0.20611810894814334,0.6584328480287911,0.5941348630447565,True,D,0.06736530486085471,-1.0,True,True
2020-12-19,Newcastle,Fulham,D,0.47506854971258733,0.2662568579292193,0.25867459235819334,0.3800403225806452,0.2923387096774194,0.3276209677419355,1.3232938048095844,True,H,0.09502822713194214,-1.0,True,True
2020-12-19,Everton,Arsenal,H,0.35594298107597494,0.27874980764171864,0.36530721128230637,0.3883495145631068,0.27184466019417475,0.33980582524271846,1.032984726474897,False,,0.025501386039587903,,True,True
