accuracy,logloss,brier,test_season,model
0.46578947368421053,1.0426303142863365,0.6226070919175316,2020/21,HistGB + Elo/Rest + sigmoid
0.5789473684210527,0.9359714254015705,0.5536859603003608,2021/22,Market baseline
0.55,0.9461825937206778,0.5582891936856766,2021/22,Market logistic
0.5657894736842105,0.9555224947139194,0.5633343449746401,2021/22,Market logistic + sigmoid
0.55,0.9632068535642047,0.565542327672004,2021/22,Market logistic + isotonic
0.55,0.968281686497099,0.5696148766058715,2021/22,Team + Market
0.55,0.9694552121005571,0.5714351223350661,2021/22,Team + Market + sigmoid
0.5421052631578948,0.9703700418461435,0.5716911999751799,2021/22,Team + Market + isotonic
0.5473684210526316,0.9758571066119612,0.5738724293259252,2021/22,Team + Market + Elo/Rest
0.55,0.975756774879603,0.5754463397573947,2021/22,Team + Market + Elo/Rest + sigmoid
0.4921052631578947,1.0470624206477845,0.6125750496010665,2021/22,HistGB + Elo/Rest
0.5605263157894737,0.9851887842315431,0.58480828847973,2021/22,HistGB + Elo/Rest + sigmoid
0.5605263157894737,0.9658011480552079,0.5736740356570778,2022/23,Market baseline
0.5394736842105263,0.9867833151954531,0.5837838090396337,2022/23,Market logistic
0.5394736842105263,0.9849977153547449,0.5829618151481099,2022/23,Market logistic + sigmoid
0.5210526315789473,1.3538119337006886,0.5925553609239862,2022/23,Market logistic + isotonic
0.531578947368421,0.994340985844244,0.587655995855459,2022/23,Team + Market
0.5289473684210526,0.9832230289161533,0.5830443601751093,2022/23,Team + Market + sigmoid
0.5342105263157895,1.0009244429810538,0.5898352222076424,2022/23,Team + Market + isotonic
0.5394736842105263,0.9966786489750596,0.587132312475204,2022/23,Team + Market + Elo/Rest
0.531578947368421,0.9798985485262536,0.5808231141340949,2022/23,Team + Market + Elo/Rest + sigmoid
0.5,1.0274763107987428,0.6131568134013222,2022/23,HistGB + Elo/Rest
0.5289473684210526,0.9856183286343472,0.5870809843291864,2022/23,HistGB + Elo/Rest + sigmoid
0.5894736842105263,0.9092502625018827,0.5331180210631138,2023/24,Market baseline
0.5921052631578947,0.9143523438270599,0.5352885724648936,2023/24,Market logistic
0.5921052631578947,0.9215859159668639,0.53963149230232,2023/24,Market logistic + sigmoid
0.5973684210526315,0.9184593062170041,0.5361074714644483,2023/24,Market logistic + isotonic
0.5842105263157895,0.911719456060072,0.5333687234446998,2023/24,Team + Market
0.5842105263157895,0.9197647718028847,0.5386509306036114,2023/24,Team + Market + sigmoid
0.5789473684210527,0.9190192124364698,0.5369187162637065,2023/24,Team + Market + isotonic
0.5815789473684211,0.9127494551842908,0.5335754046246877,2023/24,Team + Market + Elo/Rest
0.5947368421052631,0.9220850582924802,0.5402632863039352,2023/24,Team + Market + Elo/Rest + sigmoid
0.5894736842105263,0.9284434562982729,0.5394106101607847,2023/24,HistGB + Elo/Rest
0.6026315789473684,0.9389335893000252,0.5513867163470747,2023/24,HistGB + Elo/Rest + sigmoid
0.5421052631578948,0.9705521250110708,0.5788986039373659,2024/25,Market baseline
0.5421052631578948,0.9774206492225291,0.5828658655402085,2024/25,Market logistic
0.5447368421052632,0.9791288608138351,0.5829455031757196,2024/25,Market logistic + sigmoid
0.531578947368421,0.9836556361288697,0.5837785413625098,2024/25,Market logistic + isotonic
0.5394736842105263,0.9770345172857196,0.584017078855118,2024/25,Team + Market
0.5526315789473685,0.978599173630598,0.5840384973072281,2024/25,Team + Market + sigmoid
0.5421052631578948,0.9785071500597778,0.5836327576404667,2024/25,Team + Market + isotonic
0.5289473684210526,0.9782612483362656,0.5839014413764727,2024/25,Team + Market + Elo/Rest
0.5394736842105263,0.9784120567420987,0.5832083917518535,2024/25,Team + Market + Elo/Rest + sigmoid
0.5210526315789473,0.9847460037072399,0.5850928089022793,2024/25,HistGB + Elo/Rest
0.5184210526315789,0.98134628561156,0.583148874619897,2024/25,HistGB + Elo/Rest + sigmoid
0.49473684210526314,1.0152523829672504,0.610024736352888,2025/26,Market baseline
0.4842105263157895,1.0194360123953237,0.613586361388331,2025/26,Market logistic
0.4842105263157895,1.0192877581432969,0.6136880821301319,2025/26,Market logistic + sigmoid
0.4710526315789474,1.0179040703128743,0.6148468252639111,2025/26,Market logistic + isotonic
0.4789473684210526,1.0212174918288004,0.6139109768674088,2025/26,Team + Market
0.4763157894736842,1.0192512577875703,0.6129597213642959,2025/26,Team + Market + sigmoid
0.4842105263157895,1.0191574965061359,0.6140481227029754,2025/26,Team + Market + isotonic
0.4842105263157895,1.0193979171356302,0.6123561838731701,2025/26,Team + Market + Elo/Rest
0.4842105263157895,1.0187460348857966,0.6125022203508682,2025/26,Team + Market + Elo/Rest + sigmoid
0.4473684210526316,1.0515646132482976,0.6348641395990064,2025/26,HistGB + Elo/Rest
0.45789473684210524,1.0294750771486731,0.6201240454138289,2025/26,HistGB + Elo/Rest + sigmoid
