bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,test_season,model,strategy,ev_threshold
227,58,0.2555066079295154,227.0,23.21,0.1022466960352423,6.12035242290749,0.18151419839050145,-17.83,2019/20,Market logistic + sigmoid,all_qualifying,0.02
134,25,0.1865671641791045,134.0,38.18,0.28492537313432836,8.151940298507464,0.2850775685437234,-14.25,2019/20,Market logistic + sigmoid,all_qualifying,0.05
105,16,0.1523809523809524,105.0,25.25,0.24047619047619048,8.50095238095238,0.3424349228084982,-20.0,2019/20,Market logistic + sigmoid,all_qualifying,0.1
79,10,0.12658227848101267,79.0,18.0,0.22784810126582278,9.55379746835443,0.41412769929478366,-18.0,2019/20,Market logistic + sigmoid,all_qualifying,0.15
360,113,0.3138888888888889,360.0,-52.96000000000001,-0.14711111111111114,3.6604444444444444,0.1708977747811339,-61.15000000000002,2019/20,Team + Market,argmax,0.0
338,105,0.3106508875739645,338.0,-45.440000000000005,-0.13443786982248523,3.70887573964497,0.18135599917589562,-53.63,2019/20,Team + Market,argmax,0.02
284,84,0.29577464788732394,284.0,-35.88,-0.1263380281690141,3.859718309859155,0.20886709796106143,-44.629999999999995,2019/20,Team + Market,argmax,0.05
210,56,0.26666666666666666,210.0,-25.090000000000007,-0.11947619047619051,4.184,0.25647035075152136,-33.97,2019/20,Team + Market,argmax,0.1
148,37,0.25,148.0,-9.3,-0.06283783783783785,4.529256756756757,0.3117059804377698,-19.160000000000004,2019/20,Team + Market,argmax,0.15
420,133,0.31666666666666665,420.0,-55.11,-0.1312142857142857,3.768023809523809,0.1552626180571234,-65.30000000000003,2019/20,Team + Market,all_qualifying,0.0
376,117,0.31117021276595747,376.0,-49.11,-0.13061170212765957,3.7902127659574467,0.17225404482030482,-56.80000000000003,2019/20,Team + Market,all_qualifying,0.02
307,91,0.2964169381107492,307.0,-34.980000000000004,-0.11394136807817591,3.923452768729642,0.20251297036417473,-43.12999999999999,2019/20,Team + Market,all_qualifying,0.05
217,58,0.2672811059907834,217.0,-25.589999999999996,-0.11792626728110597,4.280829493087558,0.25617326814881913,-34.72,2019/20,Team + Market,all_qualifying,0.1
152,38,0.25,152.0,-10.049999999999999,-0.06611842105263158,4.6775,0.3124742468764865,-20.160000000000004,2019/20,Team + Market,all_qualifying,0.15
356,130,0.3651685393258427,356.0,-13.049999999999994,-0.0366573033707865,3.441910112359551,0.21761264268760716,-36.22,2019/20,Team + Market + Elo/Rest,argmax,0.0
339,120,0.35398230088495575,339.0,-11.829999999999998,-0.03489675516224188,3.5088790560471974,0.2281199302525777,-30.679999999999986,2019/20,Team + Market + Elo/Rest,argmax,0.02
301,106,0.3521594684385382,301.0,-3.059999999999995,-0.010166112956810615,3.6431893687707637,0.25221372226953864,-30.929999999999993,2019/20,Team + Market + Elo/Rest,argmax,0.05
239,77,0.32217573221757323,239.0,-0.14000000000000057,-0.0005857740585774083,3.8901673640167362,0.29849233659084756,-27.089999999999993,2019/20,Team + Market + Elo/Rest,argmax,0.1
184,57,0.30978260869565216,184.0,0.5800000000000018,0.0031521739130434883,4.123913043478261,0.3500534972040174,-24.959999999999994,2019/20,Team + Market + Elo/Rest,argmax,0.15
416,152,0.36538461538461536,416.0,-8.419999999999996,-0.020240384615384608,3.4984134615384614,0.19585335805842344,-39.30999999999999,2019/20,Team + Market + Elo/Rest,all_qualifying,0.0
384,137,0.3567708333333333,384.0,-11.399999999999999,-0.029687499999999995,3.5792187499999994,0.21148018681282713,-30.319999999999997,2019/20,Team + Market + Elo/Rest,all_qualifying,0.02
328,114,0.3475609756097561,328.0,-4.990000000000002,-0.015213414634146348,3.763810975609756,0.24128639263767265,-29.159999999999997,2019/20,Team + Market + Elo/Rest,all_qualifying,0.05
250,79,0.316,250.0,-4.589999999999998,-0.01835999999999999,4.0464,0.2935988617960477,-27.139999999999993,2019/20,Team + Market + Elo/Rest,all_qualifying,0.1
189,58,0.30687830687830686,189.0,-1.17,-0.00619047619047619,4.3087301587301585,0.3480227823224421,-25.960000000000004,2019/20,Team + Market + Elo/Rest,all_qualifying,0.15
360,105,0.2916666666666667,360.0,-12.299999999999999,-0.034166666666666665,4.502472222222222,0.29623016384584683,-36.84,2019/20,Team + Market + Elo/Rest + sigmoid,argmax,0.0
343,101,0.2944606413994169,343.0,-6.130000000000003,-0.017871720116618084,4.589504373177843,0.3104517178114299,-34.839999999999996,2019/20,Team + Market + Elo/Rest + sigmoid,argmax,0.02
319,91,0.2852664576802508,319.0,-4.190000000000001,-0.013134796238244519,4.737523510971787,0.3312874937639012,-33.28999999999999,2019/20,Team + Market + Elo/Rest + sigmoid,argmax,0.05
252,66,0.2619047619047619,252.0,3.5300000000000047,0.014007936507936527,5.143809523809524,0.39905668230037683,-31.319999999999993,2019/20,Team + Market + Elo/Rest + sigmoid,argmax,0.1
200,46,0.23,200.0,4.460000000000004,0.02230000000000002,5.568599999999999,0.47016188858973557,-24.099999999999994,2019/20,Team + Market + Elo/Rest + sigmoid,argmax,0.15
431,117,0.271461716937355,431.0,-7.429999999999998,-0.017238979118329462,5.096937354988398,0.2806175952375819,-29.910000000000007,2019/20,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.0
399,110,0.2756892230576441,399.0,4.239999999999995,0.010626566416040088,5.234511278195488,0.3022748451730948,-25.18,2019/20,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.02
363,99,0.2727272727272727,363.0,16.43,0.045261707988980715,5.426694214876033,0.32897724402702083,-22.68,2019/20,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.05
287,73,0.25435540069686413,287.0,30.279999999999994,0.10550522648083621,5.940905923344948,0.3959160734572109,-20.9,2019/20,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.1
228,52,0.22807017543859648,228.0,29.21,0.1281140350877193,6.401184210526315,0.46609404163189533,-16.0,2019/20,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.15
363,88,0.24242424242424243,363.0,-96.84,-0.2667768595041322,4.118071625344353,0.23831704352118163,-98.15000000000003,2019/20,Team + Market + isotonic,argmax,0.0
341,82,0.2404692082111437,341.0,-87.1,-0.255425219941349,4.189970674486803,0.2530082406213347,-87.91000000000003,2019/20,Team + Market + isotonic,argmax,0.02
304,66,0.21710526315789475,304.0,-88.15,-0.2899671052631579,4.341546052631578,0.27935917816364897,-88.99000000000004,2019/20,Team + Market + isotonic,argmax,0.05
222,44,0.1981981981981982,222.0,-55.42,-0.24963963963963964,4.797567567567567,0.3550306074012272,-60.34000000000001,2019/20,Team + Market + isotonic,argmax,0.1
179,35,0.19553072625698323,179.0,-36.34,-0.20301675977653633,5.084078212290502,0.41024009948206974,-46.260000000000005,2019/20,Team + Market + isotonic,argmax,0.15
434,118,0.271889400921659,434.0,-70.50999999999999,-0.16246543778801842,4.2700000000000005,0.2136750432139518,-74.07000000000004,2019/20,Team + Market + isotonic,all_qualifying,0.0
393,102,0.2595419847328244,393.0,-66.54,-0.16931297709923665,4.3925954198473285,0.23503030080151252,-69.20000000000005,2019/20,Team + Market + isotonic,all_qualifying,0.02
333,77,0.23123123123123124,333.0,-76.19000000000001,-0.22879879879879883,4.568648648648649,0.2708746156648309,-76.0,2019/20,Team + Market + isotonic,all_qualifying,0.05
237,47,0.19831223628691982,237.0,-50.62,-0.21358649789029535,5.109957805907173,0.35052161792042014,-53.539999999999985,2019/20,Team + Market + isotonic,all_qualifying,0.1
191,37,0.193717277486911,191.0,-31.090000000000003,-0.16277486910994765,5.446335078534031,0.4049289335644818,-39.01,2019/20,Team + Market + isotonic,all_qualifying,0.15
357,93,0.2605042016806723,357.0,-19.849999999999998,-0.05560224089635854,4.593529411764705,0.2536985768479782,-40.43000000000001,2019/20,Team + Market + sigmoid,argmax,0.0
336,83,0.24702380952380953,336.0,-21.690000000000005,-0.06455357142857145,4.696071428571428,0.2688662658351622,-40.47,2019/20,Team + Market + sigmoid,argmax,0.02
298,69,0.23154362416107382,298.0,-12.150000000000002,-0.04077181208053692,4.937785234899329,0.2985675383936862,-33.49999999999999,2019/20,Team + Market + sigmoid,argmax,0.05
233,50,0.2145922746781116,233.0,-3.8000000000000007,-0.016309012875536485,5.395922746781116,0.3616312836415035,-26.149999999999995,2019/20,Team + Market + sigmoid,argmax,0.1
187,35,0.18716577540106952,187.0,2.780000000000001,0.014866310160427814,5.98283422459893,0.4201912333755951,-27.700000000000003,2019/20,Team + Market + sigmoid,argmax,0.15
430,106,0.24651162790697675,430.0,-16.509999999999998,-0.0383953488372093,5.14139534883721,0.24327956181134522,-37.09,2019/20,Team + Market + sigmoid,all_qualifying,0.0
398,94,0.23618090452261306,398.0,-14.15,-0.03555276381909548,5.308266331658291,0.26199899595883236,-33.62,2019/20,Team + Market + sigmoid,all_qualifying,0.02
340,76,0.2235294117647059,340.0,1.0999999999999943,0.003235294117647042,5.610323529411764,0.30073454821795503,-27.249999999999996,2019/20,Team + Market + sigmoid,all_qualifying,0.05
267,55,0.20599250936329588,267.0,4.950000000000003,0.01853932584269664,6.104494382022472,0.3629972694796955,-23.55,2019/20,Team + Market + sigmoid,all_qualifying,0.1
212,38,0.1792452830188679,212.0,-2.4700000000000024,-0.011650943396226427,6.7138679245283015,0.4253279214180181,-24.8,2019/20,Team + Market + sigmoid,all_qualifying,0.15
364,118,0.3241758241758242,364.0,-13.490000000000002,-0.03706043956043956,3.960769230769231,0.44458203025659326,-42.25,2020/21,HistGB + Elo/Rest,argmax,0.0
354,114,0.3220338983050847,354.0,-12.630000000000006,-0.035677966101694936,3.9929378531073447,0.456812538656962,-41.08,2020/21,HistGB + Elo/Rest,argmax,0.02
343,109,0.3177842565597668,343.0,-15.409999999999997,-0.044927113702623894,4.038134110787172,0.47031543201921444,-40.41,2020/21,HistGB + Elo/Rest,argmax,0.05
322,102,0.3167701863354037,322.0,-9.279999999999994,-0.028819875776397497,4.128229813664596,0.4956372462791122,-41.279999999999994,2020/21,HistGB + Elo/Rest,argmax,0.1
286,83,0.2902097902097902,286.0,-28.130000000000003,-0.09835664335664336,4.254055944055944,0.5419791429940856,-43.620000000000005,2020/21,HistGB + Elo/Rest,argmax,0.15
450,147,0.32666666666666666,450.0,-32.3,-0.07177777777777777,3.8574666666666664,0.3816866348061909,-45.239999999999995,2020/21,HistGB + Elo/Rest,all_qualifying,0.0
428,139,0.3247663551401869,428.0,-24.929999999999993,-0.05824766355140185,3.9250934579439254,0.4007922663140656,-45.16,2020/21,HistGB + Elo/Rest,all_qualifying,0.02
399,127,0.3182957393483709,399.0,-25.93999999999999,-0.06501253132832077,4.006867167919799,0.4274959962606201,-46.9,2020/21,HistGB + Elo/Rest,all_qualifying,0.05
356,111,0.31179775280898875,356.0,-16.879999999999995,-0.04741573033707864,4.1407584269662925,0.469662740565408,-45.629999999999995,2020/21,HistGB + Elo/Rest,all_qualifying,0.1
308,88,0.2857142857142857,308.0,-33.73,-0.109512987012987,4.286396103896104,0.5231876808449993,-47.89000000000001,2020/21,HistGB + Elo/Rest,all_qualifying,0.15
365,90,0.2465753424657534,365.0,2.8199999999999967,0.007726027397260265,4.93786301369863,0.4687608186120126,-33.14,2020/21,HistGB + Elo/Rest + sigmoid,argmax,0.0
352,85,0.24147727272727273,352.0,6.990000000000004,0.019857954545454557,5.027642045454545,0.4856839705829067,-31.64,2020/21,HistGB + Elo/Rest + sigmoid,argmax,0.02
330,78,0.23636363636363636,330.0,9.88,0.029939393939393943,5.149696969696969,0.5157823123934456,-28.03,2020/21,HistGB + Elo/Rest + sigmoid,argmax,0.05
292,64,0.2191780821917808,292.0,5.439999999999998,0.018630136986301362,5.418972602739727,0.5737063260706916,-31.1,2020/21,HistGB + Elo/Rest + sigmoid,argmax,0.1
253,56,0.22134387351778656,253.0,19.970000000000006,0.07893280632411069,5.750869565217392,0.6427848880937894,-19.17,2020/21,HistGB + Elo/Rest + sigmoid,argmax,0.15
447,112,0.2505592841163311,447.0,20.980000000000008,0.04693512304250561,4.9857494407158836,0.41625183271611665,-20.950000000000003,2020/21,HistGB + Elo/Rest + sigmoid,all_qualifying,0.0
422,102,0.24170616113744076,422.0,21.240000000000002,0.050331753554502374,5.117014218009479,0.4403817444469363,-17.699999999999992,2020/21,HistGB + Elo/Rest + sigmoid,all_qualifying,0.02
388,90,0.23195876288659795,388.0,21.159999999999997,0.054536082474226796,5.287319587628866,0.47588393057677947,-19.56,2020/21,HistGB + Elo/Rest + sigmoid,all_qualifying,0.05
335,71,0.21194029850746268,335.0,10.440000000000001,0.031164179104477614,5.558626865671641,0.5395958179580704,-24.979999999999997,2020/21,HistGB + Elo/Rest + sigmoid,all_qualifying,0.1
283,61,0.21554770318021202,283.0,28.969999999999995,0.10236749116607773,5.91279151943463,0.6157909013350843,-19.669999999999995,2020/21,HistGB + Elo/Rest + sigmoid,all_qualifying,0.15
55,9,0.16363636363636364,55.0,19.75,0.35909090909090907,7.646,0.029746663361845872,-8.0,2020/21,Market baseline,argmax,0.0
31,5,0.16129032258064516,31.0,14.25,0.4596774193548387,8.508064516129032,0.04635029152866135,-7.0,2020/21,Market baseline,argmax,0.02
10,2,0.2,10.0,11.0,1.1,9.1,0.07547746961317321,-4.0,2020/21,Market baseline,argmax,0.05
1,0,0.0,1.0,-1.0,-1.0,12.0,0.16971019866739523,0.0,2020/21,Market baseline,argmax,0.1
1,0,0.0,1.0,-1.0,-1.0,12.0,0.16971019866739523,0.0,2020/21,Market baseline,argmax,0.15
57,9,0.15789473684210525,57.0,17.75,0.31140350877192985,7.746140350877193,0.02911818070694301,-8.0,2020/21,Market baseline,all_qualifying,0.0
31,5,0.16129032258064516,31.0,14.25,0.4596774193548387,8.508064516129032,0.04635029152866135,-7.0,2020/21,Market baseline,all_qualifying,0.02
10,2,0.2,10.0,11.0,1.1,9.1,0.07547746961317321,-4.0,2020/21,Market baseline,all_qualifying,0.05
1,0,0.0,1.0,-1.0,-1.0,12.0,0.16971019866739523,0.0,2020/21,Market baseline,all_qualifying,0.1
1,0,0.0,1.0,-1.0,-1.0,12.0,0.16971019866739523,0.0,2020/21,Market baseline,all_qualifying,0.15
304,84,0.27631578947368424,304.0,26.350000000000005,0.08667763157894738,5.051118421052632,0.21547535131559856,-23.99,2020/21,Market logistic,argmax,0.0
265,67,0.2528301886792453,265.0,20.580000000000002,0.07766037735849057,5.327207547169811,0.2456578662123799,-29.54,2020/21,Market logistic,argmax,0.02
209,49,0.23444976076555024,209.0,11.559999999999997,0.05531100478468898,5.77133971291866,0.3023465334134329,-22.2,2020/21,Market logistic,argmax,0.05
143,25,0.17482517482517482,143.0,-7.370000000000003,-0.05153846153846156,6.685734265734266,0.4077205005892554,-30.55,2020/21,Market logistic,argmax,0.1
101,16,0.15841584158415842,101.0,-12.379999999999999,-0.12257425742574256,7.575445544554455,0.5267047217138746,-26.450000000000003,2020/21,Market logistic,argmax,0.15
326,88,0.26993865030674846,326.0,12.450000000000001,0.038190184049079756,4.953588957055215,0.2031360014150874,-26.549999999999997,2020/21,Market logistic,all_qualifying,0.0
276,68,0.2463768115942029,276.0,13.08,0.04739130434782609,5.287463768115941,0.2382783389377608,-33.54,2020/21,Market logistic,all_qualifying,0.02
213,49,0.2300469483568075,213.0,7.560000000000006,0.0354929577464789,5.747840375586854,0.2988931319078785,-23.15,2020/21,Market logistic,all_qualifying,0.05
145,25,0.1724137931034483,145.0,-9.370000000000001,-0.06462068965517243,6.647517241379311,0.4046125320812038,-32.55,2020/21,Market logistic,all_qualifying,0.1
103,16,0.1553398058252427,103.0,-14.380000000000003,-0.13961165048543692,7.504368932038836,0.520019053015654,-28.450000000000003,2020/21,Market logistic,all_qualifying,0.15
347,80,0.23054755043227665,347.0,6.370000000000001,0.01835734870317003,5.150374639769453,0.3645784766438582,-33.34,2020/21,Market logistic + isotonic,argmax,0.0
319,70,0.219435736677116,319.0,-5.400000000000002,-0.016927899686520382,5.234420062695925,0.3955689983999382,-33.589999999999996,2020/21,Market logistic + isotonic,argmax,0.02
285,61,0.21403508771929824,285.0,-0.6500000000000039,-0.0022807017543859786,5.463649122807017,0.43868957012957027,-36.339999999999996,2020/21,Market logistic + isotonic,argmax,0.05
225,43,0.19111111111111112,225.0,-15.249999999999996,-0.06777777777777776,5.889288888888888,0.5364698669058063,-36.81,2020/21,Market logistic + isotonic,argmax,0.1
177,30,0.1694915254237288,177.0,-9.999999999999996,-0.05649717514124292,6.458531073446327,0.6491862397647044,-31.650000000000002,2020/21,Market logistic + isotonic,argmax,0.15
399,102,0.2556390977443609,399.0,11.810000000000004,0.029598997493734347,4.90749373433584,0.3215071855881569,-32.55,2020/21,Market logistic + isotonic,all_qualifying,0.0
347,81,0.2334293948126801,347.0,-3.789999999999999,-0.010922190201729104,5.079769452449568,0.36807921058924,-32.15,2020/21,Market logistic + isotonic,all_qualifying,0.02
296,66,0.22297297297297297,296.0,1.5399999999999974,0.005202702702702694,5.393378378378379,0.4258198081118881,-37.9,2020/21,Market logistic + isotonic,all_qualifying,0.05
228,43,0.18859649122807018,228.0,-18.25,-0.0800438596491228,5.887456140350877,0.5315256772928671,-38.81,2020/21,Market logistic + isotonic,all_qualifying,0.1
178,30,0.16853932584269662,178.0,-10.999999999999998,-0.061797752808988755,6.478426966292134,0.6467854442111655,-32.650000000000006,2020/21,Market logistic + isotonic,all_qualifying,0.15
330,78,0.23636363636363636,330.0,34.42,0.10430303030303031,5.383787878787879,0.35506603921529123,-26.78,2020/21,Market logistic + sigmoid,argmax,0.0
298,68,0.22818791946308725,298.0,38.85,0.13036912751677854,5.63503355704698,0.39230531491773707,-26.529999999999998,2020/21,Market logistic + sigmoid,argmax,0.02
250,52,0.208,250.0,35.529999999999994,0.14211999999999997,6.067880000000001,0.46101769016376043,-24.4,2020/21,Market logistic + sigmoid,argmax,0.05
181,37,0.20441988950276244,181.0,48.94999999999999,0.27044198895027616,6.929226519337017,0.6087668783410634,-19.0,2020/21,Market logistic + sigmoid,argmax,0.1
143,32,0.22377622377622378,143.0,66.02,0.4616783216783216,7.688671328671329,0.7388310167754385,-17.9,2020/21,Market logistic + sigmoid,argmax,0.15
374,87,0.232620320855615,374.0,22.78,0.06090909090909091,5.285454545454545,0.31866029979625043,-29.78,2020/21,Market logistic + sigmoid,all_qualifying,0.0
324,74,0.22839506172839505,324.0,38.800000000000004,0.1197530864197531,5.596111111111111,0.366501075098663,-28.529999999999998,2020/21,Market logistic + sigmoid,all_qualifying,0.02
258,54,0.20930232558139536,258.0,38.03,0.1474031007751938,6.079341085271318,0.45148201435326424,-25.4,2020/21,Market logistic + sigmoid,all_qualifying,0.05
187,38,0.20320855614973263,187.0,49.45000000000001,0.26443850267379687,6.947540106951872,0.595222717863028,-21.4,2020/21,Market logistic + sigmoid,all_qualifying,0.1
147,32,0.21768707482993196,147.0,62.019999999999996,0.4219047619047619,7.717551020408163,0.7249187390526632,-19.9,2020/21,Market logistic + sigmoid,all_qualifying,0.15
354,106,0.2994350282485876,354.0,0.4099999999999966,0.0011581920903954706,4.55774011299435,0.23858465060114106,-49.44000000000001,2020/21,Team + Market,argmax,0.0
323,94,0.29102167182662536,323.0,2.240000000000009,0.0069349845201238675,4.685665634674923,0.2604109872121869,-52.120000000000005,2020/21,Team + Market,argmax,0.02
274,74,0.27007299270072993,274.0,-4.269999999999996,-0.015583941605839402,4.940182481751825,0.30088273525054593,-53.89,2020/21,Team + Market,argmax,0.05
200,49,0.245,200.0,1.8000000000000025,0.009000000000000013,5.636900000000001,0.3854148284574544,-35.25,2020/21,Team + Market,argmax,0.1
158,34,0.21518987341772153,158.0,-1.3999999999999968,-0.008860759493670866,6.199050632911392,0.45451712987980836,-32.35,2020/21,Team + Market,argmax,0.15
427,137,0.32084309133489464,427.0,17.899999999999995,0.04192037470725994,4.350444964871195,0.2047243129791475,-36.400000000000006,2020/21,Team + Market,all_qualifying,0.0
365,116,0.3178082191780822,365.0,33.400000000000006,0.09150684931506851,4.538054794520548,0.23772784402766173,-34.0,2020/21,Team + Market,all_qualifying,0.02
