bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,roi_ci_low,roi_ci_high,p_roi_le_0,model,strategy,ev_threshold
3280,845,0.2576219512195122,3280.0,-56.44,-0.01720731707317073,5.1785853658536585,0.4419371037774167,-125.69,-0.04986862205927284,0.012689371226614794,0.8588,HistGB + Elo/Rest + sigmoid,argmax,0.0
3155,806,0.2554675118858954,3155.0,-36.76000000000001,-0.011651347068145804,5.261797147385104,0.4590158823716512,-116.56,-0.048198958799264446,0.02165114037905558,0.7386,HistGB + Elo/Rest + sigmoid,argmax,0.02
2896,705,0.24343922651933703,2896.0,-42.540000000000006,-0.01468922651933702,5.466208563535912,0.4969321356653166,-134.43000000000004,-0.062499552115366695,0.031070165454969576,0.7218,HistGB + Elo/Rest + sigmoid,argmax,0.05
2485,566,0.22776659959758552,2485.0,-41.419999999999995,-0.016668008048289735,5.844603621730382,0.5668679686724283,-118.98000000000005,-0.07347849473855174,0.0379321892005023,0.717,HistGB + Elo/Rest + sigmoid,argmax,0.1
2147,484,0.22543083372147182,2147.0,50.29999999999999,0.023428039124359566,6.237633907778296,0.6365457045988209,-65.7,-0.038268702841334476,0.08218810916179338,0.2204,HistGB + Elo/Rest + sigmoid,argmax,0.15
4174,1011,0.24221370388116914,4174.0,-189.34999999999997,-0.04536415908001916,5.414587925251557,0.40212665702888484,-238.98000000000027,-0.08142331029665066,-0.00945405523338593,0.9942,HistGB + Elo/Rest + sigmoid,all_qualifying,0.0
3910,934,0.23887468030690537,3910.0,-150.69,-0.038539641943734014,5.548314578005115,0.4286192396357797,-208.67000000000007,-0.07414209763170614,-0.0019588324713594703,0.9836,HistGB + Elo/Rest + sigmoid,all_qualifying,0.02
3511,790,0.22500712047849616,3511.0,-151.0,-0.04300769011677585,5.804534320706352,0.4733388716794232,-207.07000000000005,-0.08597175440711581,0.0008522946468364135,0.9728,HistGB + Elo/Rest + sigmoid,all_qualifying,0.05
2984,624,0.20911528150134048,2984.0,-140.23999999999998,-0.04699731903485254,6.213351206434316,0.5438856835107878,-187.9900000000001,-0.09414390590464161,-0.00037694390372867504,0.9764,HistGB + Elo/Rest + sigmoid,all_qualifying,0.1
2545,528,0.2074656188605108,2545.0,-21.60000000000001,-0.008487229862475446,6.596369351669942,0.616288649627981,-98.49999999999997,-0.059749218398692926,0.042877792378449395,0.6226,HistGB + Elo/Rest + sigmoid,all_qualifying,0.15
272,51,0.1875,272.0,69.66,0.2561029411764706,7.610882352941176,0.023549593192066946,-33.5,0.008753568958703812,0.5246934805039641,0.0226,Market baseline,argmax,0.0
118,20,0.1694915254237288,118.0,33.5,0.2838983050847458,8.876101694915253,0.04358250060920973,-21.0,-0.11767844332855092,0.545685096153846,0.0686,Market baseline,argmax,0.02
30,5,0.16666666666666666,30.0,23.0,0.7666666666666667,11.208333333333334,0.07555124971135216,-12.0,-0.6346153846153846,1.65625,0.1292,Market baseline,argmax,0.05
3,0,0.0,3.0,-3.0,-1.0,15.333333333333334,0.14545683819969213,-2.0,-1.0,-1.0,1.0,Market baseline,argmax,0.1
1,0,0.0,1.0,-1.0,-1.0,12.0,0.16971019866739523,0.0,-1.0,-1.0,1.0,Market baseline,argmax,0.15
281,52,0.18505338078291814,281.0,64.86000000000001,0.23081850533807835,7.605373665480427,0.023224490684180504,-33.5,0.00145833333333333,0.4839463601532567,0.0242,Market baseline,all_qualifying,0.0
121,21,0.17355371900826447,121.0,34.7,0.28677685950413223,8.804380165289256,0.04309906333037443,-21.0,-0.10975609756097561,0.5308251793868232,0.064,Market baseline,all_qualifying,0.02
30,5,0.16666666666666666,30.0,23.0,0.7666666666666667,11.208333333333334,0.07555124971135216,-12.0,-0.6346153846153846,1.65625,0.1292,Market baseline,all_qualifying,0.05
3,0,0.0,3.0,-3.0,-1.0,15.333333333333334,0.14545683819969213,-2.0,-1.0,-1.0,1.0,Market baseline,all_qualifying,0.1
1,0,0.0,1.0,-1.0,-1.0,12.0,0.16971019866739523,0.0,-1.0,-1.0,1.0,Market baseline,all_qualifying,0.15
2728,935,0.34274193548387094,2728.0,-82.02999999999997,-0.030069648093841633,4.112272727272726,0.13244664549101132,-175.3700000000001,-0.08303063402445728,0.018085876516426947,0.8694,Market logistic,argmax,0.0
2321,782,0.3369237397673417,2321.0,-18.289999999999996,-0.00788022404136148,4.285187419215855,0.1539442627788033,-105.88000000000002,-0.06092243300252111,0.04510180287671726,0.6146,Market logistic,argmax,0.02
1827,579,0.3169129720853859,1827.0,8.739999999999988,0.004783798576902019,4.599014778325124,0.18640883186035873,-100.05,-0.07361996602196082,0.10047270115839857,0.495,Market logistic,argmax,0.05
1102,313,0.28402903811252267,1102.0,24.650000000000006,0.022368421052631583,5.447068965517241,0.2610822424719215,-81.82999999999998,-0.1111695086193218,0.20737744413407816,0.4042,Market logistic,argmax,0.1
677,161,0.2378138847858198,677.0,-13.519999999999989,-0.019970457902511063,6.315967503692762,0.34823859723949663,-73.16,-0.22407174990818948,0.16889675973475402,0.5848,Market logistic,argmax,0.15
3321,1123,0.3381511592893707,3321.0,-148.42999999999998,-0.04469436916591388,4.241499548328817,0.11736772716874495,-191.4800000000002,-0.08199972123866431,-0.011680892457181482,0.9966,Market logistic,all_qualifying,0.0
2652,876,0.33031674208144796,2652.0,-43.29,-0.016323529411764705,4.493800904977376,0.14452115976197658,-99.75000000000006,-0.060208506551517375,0.020898200476337205,0.7848,Market logistic,all_qualifying,0.02
1941,598,0.30808861411643484,1941.0,-5.569999999999993,-0.0028696548171045816,4.861257083977332,0.18526824281881552,-89.14,-0.07820996642135336,0.08083503265217541,0.5432,Market logistic,all_qualifying,0.05
1152,317,0.2751736111111111,1152.0,6.150000000000016,0.005338541666666681,5.764157986111111,0.2624606651857845,-85.33000000000001,-0.12436359985575662,0.17664188351920695,0.4848,Market logistic,all_qualifying,0.1
712,164,0.2303370786516854,712.0,-23.019999999999996,-0.0323314606741573,6.750098314606741,0.34920840311927714,-73.53999999999999,-0.22821959442800788,0.15349891053214856,0.6432,Market logistic,all_qualifying,0.15
3080,980,0.3181818181818182,3080.0,-96.41999999999996,-0.031305194805194794,4.065938311688312,0.20659057717116922,-173.25000000000003,-0.06937058108069326,0.007488385319850232,0.9442,Market logistic + isotonic,argmax,0.0
2817,888,0.3152289669861555,2817.0,-89.32,-0.031707490237841675,4.153961661341853,0.22486602281152754,-168.4000000000001,-0.07425452655398478,0.010639410045335215,0.9276,Market logistic + isotonic,argmax,0.02
2426,752,0.3099752679307502,2426.0,-59.859999999999985,-0.02467436108821104,4.321475680131904,0.25542954688824654,-148.57000000000002,-0.07953669757888492,0.030482486660598832,0.7996,Market logistic + isotonic,argmax,0.05
1862,552,0.2964554242749731,1862.0,-26.860000000000007,-0.014425349087003226,4.661605800214823,0.31023037046266283,-139.5,-0.1015672913117547,0.07459310747399758,0.6466,Market logistic + isotonic,argmax,0.1
1394,387,0.2776183644189383,1394.0,0.3200000000000003,0.00022955523672883808,5.1065208034433285,0.37273851878879577,-95.55,-0.08294639931289641,0.07812909918620568,0.5074,Market logistic + isotonic,argmax,0.15
3709,1224,0.33000808843354,3709.0,-127.85999999999996,-0.034472903747640865,3.967991372337557,0.1805939675063792,-196.86000000000007,-0.06673207558924715,-0.004139818607515173,0.9888,Market logistic + isotonic,all_qualifying,0.0
