bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,model,strategy,odds_bucket
540,317,0.587037037037037,540.0,-0.6499999999999946,-0.0012037037037036936,1.7188703703703705,0.22198402670613365,-13.510000000000002,HistGB + Elo/Rest,all_qualifying,1.50-1.99
624,234,0.375,624.0,-70.91,-0.11363782051282051,2.4065705128205126,0.2961815415059827,-87.54000000000002,HistGB + Elo/Rest,all_qualifying,2.00-2.99
1376,383,0.27834302325581395,1376.0,22.54,0.016380813953488373,3.6913953488372098,0.37244028763654824,-63.63,HistGB + Elo/Rest,all_qualifying,3.00-4.99
550,92,0.16727272727272727,550.0,-4.25,-0.007727272727272728,6.367909090909091,0.5867686331848112,-56.75,HistGB + Elo/Rest,all_qualifying,5.00-9.99
168,14,0.08333333333333333,168.0,14.0,0.08333333333333333,15.107142857142858,1.1250370569148775,-43.0,HistGB + Elo/Rest,all_qualifying,10+
1,1,1.0,1.0,0.43999999999999995,0.43999999999999995,1.44,0.06361304134192403,0.0,HistGB + Elo/Rest + sigmoid,argmax,1.00-1.49
87,46,0.5287356321839081,87.0,-3.8400000000000003,-0.04413793103448276,1.8216091954022984,0.11119174488330989,-8.459999999999999,HistGB + Elo/Rest + sigmoid,argmax,1.50-1.99
590,210,0.3559322033898305,590.0,-66.97,-0.11350847457627118,2.505559322033898,0.17237753313762336,-71.47999999999998,HistGB + Elo/Rest + sigmoid,argmax,2.00-2.99
1050,278,0.26476190476190475,1050.0,5.079999999999991,0.00483809523809523,3.8554666666666666,0.28214625459159715,-74.97999999999999,HistGB + Elo/Rest + sigmoid,argmax,3.00-4.99
865,150,0.17341040462427745,865.0,57.75,0.06676300578034682,6.4713294797687855,0.5908272512288317,-44.75,HistGB + Elo/Rest + sigmoid,argmax,5.00-9.99
303,20,0.066006600660066,303.0,-35.0,-0.11551155115511551,15.003300330033003,1.717347478070141,-58.0,HistGB + Elo/Rest + sigmoid,argmax,10+
1,1,1.0,1.0,0.43999999999999995,0.43999999999999995,1.44,0.06361304134192403,0.0,HistGB + Elo/Rest + sigmoid,all_qualifying,1.00-1.49
91,48,0.5274725274725275,91.0,-4.390000000000001,-0.04824175824175825,1.8182417582417583,0.10897297781568102,-8.239999999999998,HistGB + Elo/Rest + sigmoid,all_qualifying,1.50-1.99
601,215,0.3577371048252912,601.0,-65.53,-0.10903494176372712,2.5026123128119804,0.17085619570067329,-70.53999999999996,HistGB + Elo/Rest + sigmoid,all_qualifying,2.00-2.99
1167,303,0.2596401028277635,1167.0,-9.019999999999989,-0.007729220222793478,3.879648671808055,0.26494948470595414,-81.92999999999999,HistGB + Elo/Rest + sigmoid,all_qualifying,3.00-4.99
1239,197,0.15899919289749798,1239.0,-5.5,-0.00443906376109766,6.5489911218724774,0.5190856847151832,-72.5,HistGB + Elo/Rest + sigmoid,all_qualifying,5.00-9.99
412,26,0.06310679611650485,412.0,-67.0,-0.16262135922330098,14.725728155339805,1.4487496087714093,-80.0,HistGB + Elo/Rest + sigmoid,all_qualifying,10+
